,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME,TEAM_PERF,OPP_PERF,TEAM_WINS,TEAM_POINTS,OPPOSITION_POINTS,TEAM_FG,OPP_FG,TEAM_FT,OPP_FT,TEAM_FG3,OPP_FG3,TEAM_AST,OPP_AST,TEAM_REB,OPP_REB,OPP_WINS
45,749,2022-03-27,22101119,Final,1610612740,1610612747,2021,1610612740,116.0,0.484,0.792,0.333,25.0,41.0,1610612747,108.0,0.525,0.625,0.4,26.0,39.0,1,0,108.0,116.0,0,108.0,108.0,0.525,0.484,0.625,0.792,0.4,0.792,26.0,25.0,39.0,41.0,1
46,781,2022-03-23,22101093,Final,1610612747,1610612755,2021,1610612747,121.0,0.515,0.625,0.367,25.0,45.0,1610612755,126.0,0.516,0.786,0.37,26.0,43.0,0,1,121.0,126.0,0,121.0,121.0,0.515,0.516,0.625,0.786,0.367,0.786,25.0,26.0,45.0,43.0,1
47,788,2022-03-21,22101072,Final,1610612739,1610612747,2021,1610612739,120.0,0.523,0.842,0.359,29.0,38.0,1610612747,131.0,0.564,0.813,0.375,34.0,41.0,0,0,131.0,120.0,1,131.0,131.0,0.564,0.523,0.813,0.842,0.375,0.842,34.0,29.0,41.0,38.0,0
48,808,2022-03-19,22101061,Final,1610612764,1610612747,2021,1610612764,127.0,0.518,0.839,0.419,30.0,36.0,1610612747,119.0,0.527,0.909,0.371,25.0,41.0,1,0,119.0,127.0,0,119.0,119.0,0.527,0.518,0.909,0.839,0.371,0.839,25.0,30.0,41.0,36.0,1
49,814,2022-03-18,22101051,Final,1610612761,1610612747,2021,1610612761,123.0,0.505,0.65,0.324,25.0,46.0,1610612747,128.0,0.49,0.714,0.442,33.0,43.0,0,0,128.0,123.0,1,128.0,128.0,0.49,0.505,0.714,0.65,0.442,0.65,33.0,25.0,43.0,46.0,0
50,828,2022-03-16,22101039,Final,1610612750,1610612747,2021,1610612750,124.0,0.444,0.871,0.405,22.0,51.0,1610612747,104.0,0.419,0.696,0.227,23.0,38.0,1,0,104.0,124.0,0,104.0,104.0,0.419,0.444,0.696,0.871,0.227,0.871,23.0,22.0,38.0,51.0,1
51,846,2022-03-14,22101028,Final,1610612747,1610612761,2021,1610612747,103.0,0.391,0.759,0.31,20.0,43.0,1610612761,114.0,0.406,0.722,0.27,24.0,64.0,0,1,103.0,114.0,0,103.0,103.0,0.391,0.406,0.759,0.722,0.31,0.722,20.0,24.0,43.0,64.0,1
52,854,2022-03-13,22101019,Final,1610612756,1610612747,2021,1610612756,140.0,0.569,0.857,0.364,36.0,51.0,1610612747,111.0,0.444,0.742,0.4,24.0,37.0,1,0,111.0,140.0,0,111.0,111.0,0.444,0.569,0.742,0.857,0.4,0.857,24.0,36.0,37.0,51.0,1
53,871,2022-03-11,22101004,Final,1610612747,1610612764,2021,1610612747,122.0,0.527,0.706,0.452,25.0,37.0,1610612764,109.0,0.459,0.667,0.333,21.0,47.0,1,1,122.0,109.0,1,122.0,122.0,0.527,0.459,0.706,0.667,0.452,0.667,25.0,21.0,37.0,47.0,0
54,878,2022-03-09,22100985,Final,1610612745,1610612747,2021,1610612745,139.0,0.51,0.947,0.425,25.0,50.0,1610612747,130.0,0.465,0.692,0.383,25.0,48.0,1,0,130.0,139.0,0,130.0,130.0,0.465,0.51,0.692,0.947,0.383,0.947,25.0,25.0,48.0,50.0,1
55,897,2022-03-07,22100973,Final,1610612759,1610612747,2021,1610612759,117.0,0.548,0.533,0.346,28.0,47.0,1610612747,110.0,0.473,0.696,0.308,19.0,43.0,1,0,110.0,117.0,0,110.0,110.0,0.473,0.548,0.696,0.533,0.308,0.533,19.0,28.0,43.0,47.0,1
56,913,2022-03-05,22100959,Final,1610612747,1610612744,2021,1610612747,124.0,0.494,0.857,0.439,25.0,47.0,1610612744,116.0,0.5,0.474,0.441,22.0,41.0,1,1,124.0,116.0,1,124.0,124.0,0.494,0.5,0.857,0.474,0.439,0.474,25.0,22.0,47.0,41.0,0
57,929,2022-03-03,22100945,Final,1610612746,1610612747,2021,1610612746,132.0,0.548,0.867,0.63,32.0,46.0,1610612747,111.0,0.488,0.773,0.343,26.0,36.0,1,0,111.0,132.0,0,111.0,111.0,0.488,0.548,0.773,0.867,0.343,0.867,26.0,32.0,36.0,46.0,1
58,943,2022-03-01,22100931,Final,1610612747,1610612742,2021,1610612747,104.0,0.451,0.8,0.412,22.0,37.0,1610612742,109.0,0.5,0.63,0.286,24.0,45.0,0,1,104.0,109.0,0,104.0,104.0,0.451,0.5,0.8,0.63,0.412,0.63,22.0,24.0,37.0,45.0,1
59,958,2022-02-27,22100919,Final,1610612747,1610612740,2021,1610612747,95.0,0.417,0.9,0.206,15.0,38.0,1610612740,123.0,0.511,0.64,0.433,29.0,51.0,0,1,95.0,123.0,0,95.0,95.0,0.417,0.511,0.9,0.64,0.206,0.64,15.0,29.0,38.0,51.0,1
60,974,2022-02-25,22100904,Final,1610612747,1610612746,2021,1610612747,102.0,0.419,0.762,0.258,18.0,47.0,1610612746,105.0,0.494,0.684,0.385,25.0,47.0,0,1,102.0,105.0,0,102.0,102.0,0.419,0.494,0.762,0.684,0.258,0.684,18.0,25.0,47.0,47.0,1
61,997,2022-02-16,22100884,Final,1610612747,1610612762,2021,1610612747,106.0,0.477,0.636,0.278,24.0,44.0,1610612762,101.0,0.468,0.842,0.333,17.0,41.0,1,1,106.0,101.0,1,106.0,106.0,0.477,0.468,0.636,0.842,0.278,0.842,24.0,17.0,44.0,41.0,0
62,1025,2022-02-12,22100854,Final,1610612744,1610612747,2021,1610612744,117.0,0.444,0.735,0.316,24.0,50.0,1610612747,115.0,0.466,0.667,0.407,25.0,48.0,1,0,115.0,117.0,0,115.0,115.0,0.466,0.444,0.667,0.735,0.407,0.735,25.0,24.0,48.0,50.0,1
63,1045,2022-02-09,22100829,Final,1610612757,1610612747,2021,1610612757,107.0,0.472,0.813,0.313,26.0,41.0,1610612747,105.0,0.554,0.462,0.459,29.0,38.0,1,0,105.0,107.0,0,105.0,105.0,0.554,0.472,0.462,0.813,0.459,0.813,29.0,26.0,38.0,41.0,1
